index,k__Bacteria;__,k__Bacteria;p__Firmicutes,k__Bacteria;p__OD1,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Spirochaetes,k__Bacteria;p__Tenericutes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__Lentisphaerae,k__Bacteria;p__TM7,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Elusimicrobia,Unassigned;__,k__Bacteria;p__,Status
SRR35933485,10717.0,6868.0,10072.0,10964.0,0.0,54.0,0.0,0.0,170.0,0.0,4537.0,2.0,0.0,0.0,1546.0,Healthy_Control
SRR35933486,4067.0,6617.0,10088.0,205.0,0.0,0.0,89.0,27.0,0.0,0.0,6736.0,566.0,116.0,0.0,248.0,Breast_Cancer
SRR35933487,10490.0,4346.0,10790.0,8132.0,0.0,4.0,309.0,0.0,53.0,156.0,8566.0,114.0,234.0,0.0,12.0,Healthy_Control
SRR35933488,15547.0,7908.0,10140.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,5589.0,495.0,0.0,0.0,200.0,Breast_Cancer
SRR35933489,7158.0,3523.0,6992.0,3256.0,0.0,0.0,1609.0,22.0,131.0,0.0,5934.0,6.0,0.0,0.0,102.0,Healthy_Control
SRR35933490,5597.0,1788.0,5421.0,5248.0,0.0,0.0,0.0,0.0,0.0,0.0,5383.0,73.0,0.0,0.0,255.0,Breast_Cancer
SRR35933491,8985.0,12857.0,15536.0,1588.0,0.0,0.0,0.0,0.0,0.0,0.0,10509.0,307.0,0.0,0.0,31.0,Healthy_Control
SRR35933492,25519.0,17543.0,4662.0,11118.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,277.0,0.0,0.0,0.0,Breast_Cancer
SRR35933493,16839.0,6566.0,15228.0,12721.0,0.0,42.0,0.0,0.0,0.0,0.0,13213.0,78.0,0.0,0.0,1063.0,Healthy_Control
SRR35933494,8950.0,13845.0,17772.0,2305.0,0.0,476.0,430.0,471.0,7.0,0.0,8168.0,65.0,0.0,0.0,104.0,Breast_Cancer
SRR35933495,40707.0,16784.0,25424.0,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,13146.0,6.0,0.0,0.0,288.0,Healthy_Control
SRR35933496,5853.0,8931.0,10073.0,487.0,0.0,0.0,0.0,869.0,182.0,0.0,3053.0,510.0,0.0,0.0,100.0,Breast_Cancer
SRR35933497,8227.0,10134.0,15564.0,2018.0,0.0,651.0,1.0,36.0,833.0,0.0,10043.0,57.0,0.0,0.0,99.0,Healthy_Control
SRR35933498,5379.0,17396.0,29662.0,1798.0,0.0,0.0,0.0,102.0,23.0,0.0,14256.0,156.0,0.0,0.0,164.0,Breast_Cancer
SRR35933499,10749.0,15632.0,25388.0,234.0,0.0,92.0,380.0,5282.0,5.0,0.0,13588.0,100.0,0.0,0.0,230.0,Healthy_Control
SRR35933500,11745.0,5683.0,10499.0,5412.0,0.0,0.0,3492.0,337.0,0.0,0.0,8921.0,114.0,0.0,0.0,384.0,Breast_Cancer
SRR35933501,2147.0,5290.0,21952.0,2446.0,0.0,0.0,0.0,8688.0,0.0,0.0,2227.0,6.0,0.0,0.0,25.0,Healthy_Control
SRR35933502,6481.0,7110.0,15839.0,1159.0,0.0,938.0,505.0,0.0,0.0,0.0,9219.0,449.0,0.0,0.0,28.0,Breast_Cancer
SRR35933503,49144.0,13479.0,16250.0,2707.0,0.0,0.0,0.0,0.0,0.0,0.0,6229.0,392.0,0.0,0.0,15.0,Healthy_Control
SRR35933504,10453.0,15783.0,17665.0,965.0,0.0,511.0,0.0,217.0,8.0,0.0,8677.0,342.0,0.0,0.0,256.0,Breast_Cancer
SRR35933505,14261.0,16142.0,22128.0,4329.0,0.0,509.0,0.0,18.0,0.0,0.0,14685.0,118.0,0.0,0.0,376.0,Healthy_Control
SRR35933506,11005.0,12047.0,20234.0,2304.0,0.0,0.0,0.0,9.0,0.0,0.0,17601.0,33.0,0.0,0.0,229.0,Breast_Cancer
SRR35933507,33415.0,13680.0,25951.0,1424.0,0.0,6.0,17.0,14.0,20.0,0.0,20027.0,56.0,0.0,0.0,95.0,Healthy_Control
SRR35933508,5387.0,12914.0,19550.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,10970.0,337.0,0.0,0.0,662.0,Breast_Cancer
SRR35933509,19562.0,8866.0,8008.0,214.0,11741.0,57.0,66.0,0.0,99.0,0.0,5095.0,773.0,0.0,0.0,47.0,Healthy_Control
SRR35933510,11406.0,8783.0,10704.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,8002.0,6.0,0.0,0.0,63.0,Breast_Cancer
SRR35933511,7004.0,14934.0,24589.0,517.0,0.0,0.0,0.0,0.0,16.0,0.0,17068.0,220.0,0.0,0.0,260.0,Healthy_Control
SRR35933512,43336.0,14803.0,17922.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,7834.0,29.0,0.0,0.0,0.0,Breast_Cancer
SRR35933513,5044.0,14479.0,26025.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,14763.0,396.0,0.0,0.0,1496.0,Healthy_Control
SRR35933514,15475.0,17452.0,13587.0,2385.0,0.0,658.0,12.0,0.0,0.0,0.0,5910.0,1937.0,0.0,0.0,114.0,Breast_Cancer
SRR35933515,35930.0,6962.0,6502.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.0,85.0,0.0,0.0,24.0,Healthy_Control
SRR35933516,54540.0,4472.0,16180.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,13136.0,785.0,0.0,0.0,70.0,Breast_Cancer
SRR35933517,28122.0,8433.0,12323.0,326.0,0.0,0.0,200.0,1627.0,42.0,0.0,5582.0,19.0,0.0,22.0,9.0,Healthy_Control
SRR35933518,15146.0,18795.0,20841.0,445.0,0.0,58.0,313.0,18.0,15.0,0.0,10242.0,17.0,0.0,0.0,240.0,Breast_Cancer
SRR35933519,18602.0,21010.0,11159.0,1405.0,0.0,3198.0,0.0,0.0,23.0,0.0,1049.0,1608.0,0.0,0.0,31.0,Healthy_Control
SRR35933520,13132.0,14557.0,16753.0,3625.0,0.0,31.0,34.0,1213.0,13.0,0.0,9157.0,15.0,0.0,0.0,488.0,Breast_Cancer
SRR35933521,7984.0,17181.0,28387.0,3432.0,0.0,258.0,342.0,718.0,0.0,0.0,10659.0,41.0,0.0,0.0,654.0,Healthy_Control
SRR35933522,5570.0,21012.0,30466.0,904.0,0.0,0.0,0.0,0.0,0.0,0.0,16081.0,46.0,0.0,0.0,387.0,Breast_Cancer
SRR35933523,10267.0,9461.0,18934.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,18365.0,243.0,0.0,0.0,120.0,Healthy_Control
SRR35933524,6642.0,11419.0,23274.0,5663.0,0.0,0.0,0.0,0.0,0.0,0.0,14885.0,1027.0,0.0,0.0,552.0,Breast_Cancer
SRR35933525,14734.0,21792.0,14929.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,4796.0,784.0,0.0,0.0,1391.0,Healthy_Control
SRR35933526,5615.0,5481.0,9208.0,2600.0,0.0,0.0,20.0,0.0,0.0,0.0,5891.0,241.0,0.0,0.0,44.0,Breast_Cancer
SRR35933527,7985.0,7692.0,16476.0,5386.0,0.0,50.0,0.0,6021.0,95.0,0.0,2587.0,72.0,0.0,0.0,800.0,Healthy_Control
SRR35933528,6834.0,5731.0,8295.0,606.0,1094.0,4.0,0.0,426.0,73.0,0.0,5202.0,310.0,7.0,23.0,0.0,Breast_Cancer
SRR35933529,10111.0,13407.0,16949.0,687.0,0.0,60.0,0.0,0.0,175.0,0.0,8359.0,1680.0,0.0,0.0,136.0,Healthy_Control
SRR35933530,10723.0,8471.0,12048.0,1371.0,0.0,3.0,5862.0,101.0,174.0,0.0,7038.0,104.0,0.0,0.0,0.0,Breast_Cancer
SRR35933531,11527.0,19949.0,19056.0,2681.0,0.0,0.0,0.0,0.0,0.0,0.0,7531.0,1284.0,0.0,0.0,610.0,Healthy_Control
SRR35933532,21114.0,9219.0,19351.0,16665.0,0.0,29.0,302.0,0.0,60.0,146.0,12518.0,86.0,416.0,0.0,115.0,Breast_Cancer
SRR35933533,9249.0,9149.0,21699.0,4385.0,0.0,89.0,0.0,182.0,92.0,0.0,16614.0,383.0,0.0,0.0,39.0,Healthy_Control
SRR35933534,2656.0,7621.0,9220.0,1344.0,0.0,41.0,0.0,0.0,0.0,0.0,4119.0,5.0,0.0,0.0,0.0,Breast_Cancer
SRR35933535,4966.0,11328.0,25759.0,2197.0,0.0,0.0,0.0,0.0,0.0,0.0,17388.0,96.0,0.0,0.0,169.0,Healthy_Control
SRR35933536,7079.0,3255.0,5921.0,7070.0,0.0,0.0,0.0,0.0,0.0,0.0,4378.0,8.0,0.0,0.0,16.0,Breast_Cancer
