index,k__Bacteria;__;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__OD1;c__;o__;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae],k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__,k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales];f__[Cerasicoccaceae],k__Bacteria;p__OD1;__;__;__,Unassigned;__;__;__;__,k__Bacteria;p__;c__;o__;f__,Status
SRR35933485,10717.0,3156.0,9842.0,10419.0,0.0,0.0,1241.0,83.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,170.0,281.0,0.0,0.0,112.0,372.0,3057.0,0.0,2.0,372.0,82.0,0.0,540.0,0.0,4.0,70.0,0.0,5.0,0.0,0.0,510.0,1884.0,22.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,54.0,0.0,230.0,0.0,1546.0,Healthy_Control
SRR35933486,4067.0,3460.0,8934.0,8.0,0.0,0.0,1416.0,11.0,6.0,12.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,89.0,27.0,0.0,118.0,0.0,0.0,0.0,815.0,5876.0,0.0,0.0,22.0,0.0,0.0,23.0,0.0,0.0,0.0,543.0,0.0,7.0,0.0,0.0,1573.0,0.0,23.0,0.0,0.0,116.0,190.0,0.0,0.0,0.0,0.0,1154.0,0.0,248.0,Breast_Cancer
SRR35933487,10490.0,1998.0,10710.0,8066.0,0.0,0.0,447.0,78.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,309.0,0.0,53.0,34.0,156.0,0.0,222.0,0.0,8344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,0.0,0.0,0.0,1521.0,0.0,82.0,0.0,0.0,234.0,40.0,0.0,11.0,4.0,0.0,80.0,0.0,12.0,Healthy_Control
SRR35933488,15547.0,3955.0,7373.0,127.0,0.0,0.0,2644.0,8.0,0.0,173.0,0.0,0.0,22.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,437.0,0.0,6.0,0.0,0.0,1051.0,0.0,58.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,2767.0,0.0,200.0,Breast_Cancer
SRR35933489,7158.0,1529.0,6925.0,3142.0,0.0,0.0,983.0,13.0,31.0,0.0,0.0,0.0,30.0,0.0,0.0,8.0,0.0,1609.0,0.0,131.0,97.0,0.0,0.0,36.0,44.0,5814.0,0.0,15.0,2.0,6.0,15.0,2.0,0.0,17.0,0.0,0.0,3.0,14.0,0.0,0.0,815.0,0.0,6.0,8.0,0.0,0.0,89.0,0.0,0.0,0.0,22.0,67.0,0.0,102.0,Healthy_Control
SRR35933490,5597.0,468.0,5416.0,4717.0,0.0,531.0,269.0,7.0,0.0,24.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,5196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,255.0,Breast_Cancer
SRR35933491,8985.0,5832.0,15229.0,132.0,0.0,0.0,5651.0,8.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,250.0,0.0,11.0,0.0,0.0,1166.0,0.0,57.0,0.0,0.0,0.0,1445.0,0.0,0.0,0.0,0.0,307.0,0.0,31.0,Healthy_Control
SRR35933492,25519.0,865.0,4437.0,9257.0,0.0,0.0,3281.0,266.0,0.0,111.0,159.0,32.0,7365.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,1783.0,2.0,0.0,3971.0,0.0,260.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,Breast_Cancer
SRR35933493,16839.0,1837.0,15027.0,1076.0,0.0,11319.0,3768.0,158.0,25.0,2.0,0.0,0.0,304.0,23.0,0.0,280.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,1623.0,46.0,9600.0,0.0,9.0,30.0,27.0,3.0,0.0,1875.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,78.0,41.0,9.0,0.0,276.0,0.0,0.0,42.0,0.0,201.0,0.0,1063.0,Healthy_Control
SRR35933494,8950.0,8003.0,17394.0,836.0,0.0,0.0,3183.0,452.0,149.0,24.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,430.0,0.0,7.0,399.0,0.0,1368.0,0.0,2457.0,3495.0,1562.0,73.0,194.0,82.0,0.0,305.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,1568.0,24.0,46.0,0.0,7.0,0.0,81.0,0.0,0.0,472.0,471.0,378.0,0.0,104.0,Breast_Cancer
